Proteins,MNC...Maximum.Neighborhood.Component,Degree.Centrality,Eccentricity.Centrality,Closeness.centrality..Latora.,Radiality.Centrality,Shortest.Paths.Betweenness.Centrality,clustering.coefficient,Average.Distance,K.core.Decomposition,modularity,DMNC...Density.of.Maximum.Neighborhood.Component,Stress.Centrality,MCC,classes
SPTBN4,37,37,3,331.6666667,2.744285714,77.90387452,0.617117117,2.256410256,30,1,0.428078211,0,38,0
SPTBN5,32,32,3,326.8333333,2.717142857,55.47311386,0.703629032,2.283475783,30,1,0.404551175,4044,15,0
SRC,166,166,3,423.5,3.162857143,4440.558404,0.245052939,1.839031339,43,3,0.556653425,0,2717,1
SRF,53,53,3,356.1666667,2.908571429,420.3946396,0.367198839,2.092592593,34,3,0.509385528,425,100,0
SRRM1,72,74,4,329.9166667,2.622857143,538.1179777,0.617549056,2.377492877,43,4,0.512660358,5585,49,0
SRRM2,49,49,4,309.75,2.517142857,42.28663143,0.858843537,2.482905983,43,4,0.520533453,275,12,0
SRRT,61,61,4,334.25,2.697142857,807.3306256,0.612568306,2.303418803,43,4,0.50714885,6246,35,0
SRSF1,85,85,3,367.1666667,2.911428571,1092.164749,0.529691877,2.08974359,43,4,0.567233054,1014,133,0
SRSF11,69,69,4,317.75,2.531428571,84.79581076,0.679880648,2.468660969,43,4,0.530037514,549,31,0
SRSF3,73,75,4,337.5833333,2.684285714,433.2599437,0.608648649,2.316239316,43,4,0.523406959,22752,64,0
SRSF7,71,71,4,321.4166667,2.557142857,74.14783619,0.692957746,2.443019943,43,4,0.52801487,1914,64,0
ST8SIA2,7,9,3,285.3333333,2.427142857,15.72502178,0.388888889,2.572649573,9,1,0.193935037,982,5,0
STK11,60,60,3,356.8333333,2.894285714,245.5664782,0.500564972,2.106837607,37,3,0.500961433,4253,167,0
STRIP1,3,4,4,250.6666667,2.131428571,12.40601139,0.5,2.867521368,4,1,0.159664184,4565,2,0
STRN,15,15,4,311.5833333,2.634285714,219.264666,0.285714286,2.366096866,13,1,0.445360252,1308,12,0
SUN2,9,12,4,280.5,2.37,79.78401315,0.363636364,2.62962963,11,4,0.407882424,515,6,0
SYK,40,40,3,330,2.721428571,78.45326416,0.544871795,2.279202279,32,3,0.458162509,769,81,1
TBX18,26,26,3,313.6666667,2.621428571,34.23912513,0.569230769,2.378917379,20,2,0.38148475,2008,38,0
TBX20,30,30,3,320.5,2.668571429,100.7715657,0.544827586,2.331908832,26,2,0.419867845,4,68,0
TBX3,29,29,3,333.8333333,2.785714286,103.0228099,0.502463054,2.215099715,24,3,0.415425531,127,34,0
TBX5,47,47,3,343.6666667,2.818571429,402.2952093,0.374653099,2.182336182,32,2,0.495147913,5794,111,0
TCAP,51,51,3,324.3333333,2.641428571,103.3028905,0.629803922,2.358974359,32,2,0.538960057,3628,122,0
TEAD4,9,9,4,285.1666667,2.424285714,2.423031488,0.444444444,2.575498575,9,3,0.305911818,13225,8,0
TGFB1,77,77,3,369.6666667,2.955714286,459.388506,0.462406015,2.045584046,37,3,0.550224705,4029,606,1
TGFBR1,71,71,3,363.8333333,2.922857143,497.0103137,0.395171026,2.078347578,35,3,0.52801487,5325,375,1
TGFBR2,63,63,3,356.5,2.882857143,346.7234952,0.430107527,2.118233618,35,3,0.523066558,363,311,1
TGFBRAP1,6,6,4,259.25,2.17,0.051783659,0.933333333,2.829059829,6,3,0.150525011,0,2,0
THOC5,43,43,4,319.9166667,2.625714286,98.90033093,0.747508306,2.374643875,43,4,0.492111402,362,13,0
TJP1,56,56,3,350.6666667,2.852857143,350.5208071,0.455844156,2.148148148,34,3,0.506766725,1010,120,0
TMEM158,1,3,3,272.5,2.334285714,12.41622493,0,2.665242165,3,3,1,0,3,0
TMEM43,17,18,3,312.5,2.634285714,185.8841174,0.581699346,2.366096866,16,2,0.423049843,55,10,0
TMOD1,29,29,4,282.0833333,2.307142857,11.70220653,0.903940887,2.692307692,29,2,0.415425531,356,5,0
